Performance Statistics   2021-11-18 12:12:00 - 2021-11-18 12:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
tm$Task.edit.cardCommentFrame#inject                    12,0          12          12         0,0           1
tm$Task.edit.cardCommentFrame#load                      34,0          34          34         0,0           1
tm$Task.edit.cardCommentFrame.cardCommentTextAreaFrame#init        19,0          19          19         0,0           1
tm$Task.edit.cardCommentFrame.cardCommentTextAreaFrame#inject        12,0          12          12         0,0           1
tm$Task.edit.cardCommentFrame.cardCommentTextAreaFrame#load        23,0          23          23         0,0           1
tm$Task.edit.cardCommentFrame@commentDs                 45,0          45          45         0,0           1
tm$Task.edit.cardProjectsFrame#init                     25,0          25          25         0,0           1
tm$Task.edit.cardProjectsFrame#inject                    5,0           5           5         0,0           1
tm$Task.edit.cardProjectsFrame#load                     10,0          10          10         0,0           1
tm$Task.edit.cardRelationsFrame#init                     0,0           0           0         0,0           1
tm$Task.edit.cardRelationsFrame#inject                   5,0           5           5         0,0           1
tm$Task.edit.cardRelationsFrame#load                     1,0           1           1         0,0           1
tm$Task.edit.cardRolesFrame#init                         0,0           0           0         0,0           1
tm$Task.edit.cardRolesFrame#inject                      15,0          15          15         0,0           1
tm$Task.edit.cardRolesFrame#load                       112,0         112         112         0,0           1
tm$Task.edit.cardRolesFrame@procRolesDs                 46,7          36          67        14,4           3
tm$Task.edit.cardTreeFrame#init                          2,0           2           2         0,0           1
tm$Task.edit.cardTreeFrame#inject                        6,0           6           6         0,0           1
tm$Task.edit.cardTreeFrame#load                         65,0          65          65         0,0           1
tm$Task.edit.cardTreeFrame@cardTreeDs                    1,0           1           1         0,0           1
tm$Task.edit.openHistoryFrame#init                       0,0           0           0         0,0           1
tm$Task.edit.openHistoryFrame#inject                     4,0           4           4         0,0           1
tm$Task.edit.openHistoryFrame#load                      18,0          18          18         0,0           1
tm$Task.edit.openHistoryFrame@openHistoryDs             39,0          39          39         0,0           1
tm$Task.edit.resolutionsFrame#init                      12,0          12          12         0,0           1
tm$Task.edit.resolutionsFrame#inject                     6,0           6           6         0,0           1
tm$Task.edit.resolutionsFrame#load                      50,0          50          50         0,0           1
tm$Task.edit.resolutionsFrame@resolutionsDs             66,0          66          66         0,0           1
tm$Task.edit.runtimePropertiesFrameMain#init            75,0          75          75         0,0           1
tm$Task.edit.runtimePropertiesFrameMain#inject           7,0           7           7         0,0           1
tm$Task.edit.runtimePropertiesFrameMain#load            10,0          10          10         0,0           1
tm$Task.edit.runtimePropertiesFrameTab#init              0,0           0           0         0,0           1
tm$Task.edit.runtimePropertiesFrameTab#inject            0,0           0           0         0,0           1
tm$Task.edit.runtimePropertiesFrameTab#load              0,0           0           0         0,0           1
tm$Task.edit@attachmentsDs                             121,0         121         121         0,0           1
tm$Task.edit@cardRelationsDs                            34,0          34          34         0,0           1
tm$Task.edit@categoriesDs                               11,0          11          11         0,0           1
tm$Task.edit@prioritiesDs                               10,0          10          10         0,0           1
tm$Task.edit@taskGroupsDs                              800,0         800         800         0,0           1
tm$Task.edit@taskTypesDs                                17,0          17          17         0,0           1
tm$Task.edit@veloDetailsDs                              35,0          35          35         0,0           1
voiceControlConsole#create                              80,0          80          80         0,0           1
voiceControlConsole#xml                                  1,0           1           1         0,0           1

Performance Statistics   2021-11-18 15:10:00 - 2021-11-18 15:12:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.velo3$VeloDetail.browse                        49,0          49          49         0,0           1
velo3$VeloDetail.browse#afterShow                        0,0           0           0         0,0           3
velo3$VeloDetail.browse#beforeShow                      21,7           4          57        25,0           3
velo3$VeloDetail.browse#create                           0,7           0           2         0,9           3
velo3$VeloDetail.browse#init                             2,0           0           6         2,8           3
velo3$VeloDetail.browse#inject                           0,3           0           1         0,5           3
velo3$VeloDetail.browse#load                           152,3           9         438       202,0           3
velo3$VeloDetail.browse#uiPermissions                    0,0           0           0         0,0           3
velo3$VeloDetail.browse#xml                              0,3           0           1         0,5           3

Performance Statistics   2021-11-18 15:12:00 - 2021-11-18 15:14:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2021-11-18 15:14:00 - 2021-11-18 15:16:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
CardDeadlineDatasource#loadTree                         32,0          32          32         0,0           1
MenuItem.tm$Task.edit                                  711,0         711         711         0,0           1
TDS null                                                33,0          33          33         0,0           1
actionsFrame#create                                      0,0           0           0         0,0           1
actionsFrame#xml                                         0,0           0           0         0,0           2
cardAttachmentsFrame#create                              2,0           2           2         0,0           1
cardAttachmentsFrame#xml                                 0,0           0           0         0,0           2
cardCommentFrame#create                                  3,0           3           3         0,0           1
cardCommentFrame#xml                                     0,0           0           0         0,0           2
cardCommentTextAreaFrame#create                          0,0           0           0         0,0           1
cardCommentTextAreaFrame#xml                             0,0           0           0         0,0           2
cardProjectsFrame#create                                 1,0           1           1         0,0           1
cardProjectsFrame#xml                                    0,0           0           0         0,0           2
cardRelationsFrame#create                                0,0           0           0         0,0           1
cardRelationsFrame#xml                                   0,0           0           0         0,0           2
cardTreeFrame#create                                     0,0           0           0         0,0           1
cardTreeFrame#xml                                        0,0           0           0         0,0           2
openHistoryFrame#create                                  0,0           0           0         0,0           1
openHistoryFrame#xml                                     0,0           0           0         0,0           2
runtimePropertiesFrameMain#xml                           0,0           0           0         0,0           2
runtimePropertiesFrameTab#xml                            0,0           0           0         0,0           2
taskCardRolesFrame#create                                1,0           1           1         0,0           1
taskCardRolesFrame#xml                                   0,0           0           0         0,0           2
taskResolutionsFrame#create                              0,0           0           0         0,0           1
taskResolutionsFrame#xml                                 0,0           0           0         0,0           2
tm$Task.edit#afterShow                                   0,0           0           0         0,0           1
tm$Task.edit#beforeShow                                  0,0           0           0         0,0           1
tm$Task.edit#companion                                   0,0           0           0         0,0           1
tm$Task.edit#create                                      0,0           0           0         0,0           1
tm$Task.edit#init                                        8,0           8           8         0,0           1
tm$Task.edit#inject                                      1,0           1           1         0,0           1
tm$Task.edit#load                                      126,0         126         126         0,0           1
tm$Task.edit#uiPermissions                               0,0           0           0         0,0           1
tm$Task.edit#xml                                        12,0           0          60        24,0           5
tm$Task.edit.actionsFrame#init                           0,0           0           0         0,0           1
tm$Task.edit.actionsFrame#inject                         0,0           0           0         0,0           1
tm$Task.edit.actionsFrame#load                           0,0           0           0         0,0           1
tm$Task.edit.cardAttachmentsFrame#init                   4,0           4           4         0,0           1
tm$Task.edit.cardAttachmentsFrame#inject                 0,0           0           0         0,0           1
tm$Task.edit.cardAttachmentsFrame#load                   3,0           3           3         0,0           1
tm$Task.edit.cardCommentFrame#init                      17,0          17          17         0,0           1
tm$Task.edit.cardCommentFrame#inject                     0,0           0           0         0,0           1
tm$Task.edit.cardCommentFrame#load                       1,0           1           1         0,0           1
tm$Task.edit.cardCommentFrame.cardCommentTextAreaFrame#init         0,0           0           0         0,0           1
tm$Task.edit.cardCommentFrame.cardCommentTextAreaFrame#inject         0,0           0           0         0,0           1
tm$Task.edit.cardCommentFrame.cardCommentTextAreaFrame#load         0,0           0           0         0,0           1
tm$Task.edit.cardCommentFrame@commentDs                 14,0          14          14         0,0           1
tm$Task.edit.cardProjectsFrame#init                      0,0           0           0         0,0           1
tm$Task.edit.cardProjectsFrame#inject                    0,0           0           0         0,0           1
tm$Task.edit.cardProjectsFrame#load                      0,0           0           0         0,0           1
tm$Task.edit.cardRelationsFrame#init                     0,0           0           0         0,0           1
tm$Task.edit.cardRelationsFrame#inject                   0,0           0           0         0,0           1
tm$Task.edit.cardRelationsFrame#load                     0,0           0           0         0,0           1
tm$Task.edit.cardRolesFrame#init                         0,0           0           0         0,0           1
tm$Task.edit.cardRolesFrame#inject                       0,0           0           0         0,0           1
tm$Task.edit.cardRolesFrame#load                        27,0          27          27         0,0           1
tm$Task.edit.cardRolesFrame@procRolesDs                 25,3          18          39         9,7           3
tm$Task.edit.cardTreeFrame#init                          0,0           0           0         0,0           1
tm$Task.edit.cardTreeFrame#inject                        0,0           0           0         0,0           1
tm$Task.edit.cardTreeFrame#load                          2,0           2           2         0,0           1
tm$Task.edit.cardTreeFrame@cardTreeDs                    0,0           0           0         0,0           1
tm$Task.edit.openHistoryFrame#init                       0,0           0           0         0,0           1
tm$Task.edit.openHistoryFrame#inject                     0,0           0           0         0,0           1
tm$Task.edit.openHistoryFrame#load                       0,0           0           0         0,0           1
tm$Task.edit.openHistoryFrame@openHistoryDs             10,0          10          10         0,0           1
tm$Task.edit.resolutionsFrame#init                       0,0           0           0         0,0           1
tm$Task.edit.resolutionsFrame#inject                     0,0           0           0         0,0           1
tm$Task.edit.resolutionsFrame#load                       2,0           2           2         0,0           1
tm$Task.edit.resolutionsFrame@resolutionsDs             18,0          18          18         0,0           1
tm$Task.edit.runtimePropertiesFrameMain#init             0,0           0           0         0,0           1
tm$Task.edit.runtimePropertiesFrameMain#inject           2,0           2           2         0,0           1
tm$Task.edit.runtimePropertiesFrameMain#load             0,0           0           0         0,0           1
tm$Task.edit.runtimePropertiesFrameTab#init              0,0           0           0         0,0           1
tm$Task.edit.runtimePropertiesFrameTab#inject            0,0           0           0         0,0           1
tm$Task.edit.runtimePropertiesFrameTab#load              0,0           0           0         0,0           1
tm$Task.edit@attachmentsDs                              13,0          13          13         0,0           1
tm$Task.edit@cardRelationsDs                            54,0          54          54         0,0           1
tm$Task.edit@categoriesDs                                5,0           5           5         0,0           1
tm$Task.edit@prioritiesDs                               16,0          16          16         0,0           1
tm$Task.edit@taskGroupsDs                                6,0           6           6         0,0           1
tm$Task.edit@taskTypesDs                                 7,0           7           7         0,0           1
tm$Task.edit@veloDetailsDs                               6,0           6           6         0,0           1
velo3$VeloDetail.browse#afterShow                        0,0           0           0         0,0          10
velo3$VeloDetail.browse#beforeShow                       4,0           4           4         0,0          10
velo3$VeloDetail.browse#create                           0,0           0           0         0,0          10
velo3$VeloDetail.browse#init                             0,0           0           0         0,0          10
velo3$VeloDetail.browse#inject                           0,0           0           0         0,0          10
velo3$VeloDetail.browse#load                             8,9           6          12         1,7          10
velo3$VeloDetail.browse#uiPermissions                    0,0           0           0         0,0          10
velo3$VeloDetail.browse#xml                              0,0           0           0         0,0          10

Performance Statistics   2021-11-18 15:16:00 - 2021-11-18 15:18:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count

Performance Statistics   2021-11-18 15:18:00 - 2021-11-18 15:20:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
velo3$VeloDetail.browse#afterShow                        0,0           0           0         0,0          13
velo3$VeloDetail.browse#beforeShow                       4,5           3          15         3,1          13
velo3$VeloDetail.browse#create                           0,1           0           1         0,3          13
velo3$VeloDetail.browse#init                             0,0           0           0         0,0          13
velo3$VeloDetail.browse#inject                           0,0           0           0         0,0          13
velo3$VeloDetail.browse#load                             9,1           6          30         6,2          13
velo3$VeloDetail.browse#uiPermissions                    0,0           0           0         0,0          13
velo3$VeloDetail.browse#xml                              0,1           0           1         0,3          13

